DATE,30-year,10-year,5-year,3-year,2-year,1-year,6-month,3-month,1-month
2020-12-31,4.362830,5.528130,4.952866,4.147960,3.745507,3.343054,3.141828,3.041215,2.974139
2021-01-29,3.923621,5.769162,5.446462,4.760578,4.417636,4.074694,3.903223,3.817488,3.760331
2021-02-26,1.082752,5.971122,4.611514,2.115999,0.868242,-0.379515,-1.003393,-1.315332,-1.523292
2021-03-31,3.525493,6.457607,5.503552,3.202307,2.051685,0.901063,0.325752,0.038096,-0.153674
2021-04-30,171.370064,14.151301,5.788019,3.798166,2.803239,1.808313,1.310850,1.062118,0.896297
2021-05-31,119.481759,12.010191,5.094833,2.202288,0.756015,-0.690257,-1.413394,-1.774962,-2.016007
2021-06-30,122.446318,12.648255,5.672410,3.516346,2.438314,1.360282,0.821266,0.551758,0.372086
2021-07-30,3.657759,6.475030,9.973313,18.340390,22.523929,26.707467,28.799236,29.845121,30.542378
2021-08-31,-382.604846,4.848302,10.497347,19.358114,23.788498,28.218881,30.434073,31.541669,32.280066
2021-09-30,-10.022539,6.864383,10.962444,20.608117,25.430953,30.253790,32.665208,33.870917,34.674723
2021-10-29,24.788220,9.337416,11.919777,-17.391692,-40.281480,-63.171269,-74.616163,-80.338610,-84.153575
2021-11-30,3.078088,7.425217,10.932855,-16.153536,-38.970285,-61.787034,-73.195408,-78.899595,-82.702387
2021-12-31,2.969216,7.032136,9.867293,-14.750096,-37.616873,-60.483649,-71.917038,-77.633732,-81.444861
2022-01-31,24.066706,9.072396,10.288904,-12.794534,-36.418431,-60.042329,-71.854277,-77.760251,-81.697568
2022-02-28,3.069400,7.491315,9.906227,-10.972375,-34.724773,-58.477171,-70.353371,-76.291470,-80.250203
2022-03-31,5.255356,7.590364,9.231130,-10.965165,-36.672520,-62.379875,-75.233552,-81.660391,-85.944950
2022-04-29,3.581289,7.726763,9.462078,-8.903078,-36.888993,-64.874909,-78.867867,-85.864346,-90.528665
2022-05-31,3.936822,7.756402,9.268279,-4.474744,-28.250585,-52.026426,-63.914347,-69.858307,-73.820947
2022-06-30,4.559649,7.751568,9.764004,-3.475075,-32.465699,-61.456323,-75.951635,-83.199291,-88.031062
2022-07-29,4.517252,7.830957,9.775808,-1.059819,-30.323598,-59.587377,-74.219266,-81.535211,-86.412507
2022-08-31,3.461820,7.566911,9.503975,0.748933,-28.115353,-56.979640,-71.411783,-78.627854,-83.438568
2022-09-30,3.451944,7.739053,9.522023,2.939863,-26.177100,-55.294063,-69.852544,-77.131785,-81.984612
2022-10-31,2.614116,7.389954,9.590075,5.376884,-23.195175,-51.767233,-66.053263,-73.196277,-77.958287
2022-11-30,4.112757,7.842167,10.061490,9.351771,-18.094428,-45.540627,-59.263726,-66.125276,-70.699642
2022-12-30,4.799829,7.808712,9.395053,11.925112,-15.644670,-43.214452,-56.999343,-63.891788,-68.486752
2023-01-31,3.133317,7.952227,8.830366,15.452252,-14.932758,-45.317769,-60.510274,-68.106526,-73.170694
2023-02-28,3.644095,8.131950,16.760693,17.793358,-12.784689,-43.362737,-58.651761,-66.296272,-71.392614
2023-03-31,3.760309,7.791723,8.183258,19.609427,-10.708015,-41.181859,-56.418780,-64.037241,-69.116215
2023-04-28,3.500151,7.556328,6.913169,18.650388,-8.229235,-38.025471,-52.923589,-60.372648,-65.338687
2023-05-31,2.893632,7.095223,5.051719,17.423327,-6.894574,-37.696620,-53.097643,-60.798154,-65.931828
2023-06-30,3.815940,6.726366,3.549864,16.139404,-4.665586,-35.169459,-50.421395,-58.047364,-63.131342
2023-07-31,3.611524,6.841462,2.600697,15.616701,-2.526336,-34.062502,-49.830586,-57.714627,-62.970655
2023-08-31,4.196617,7.018547,2.112330,15.045678,0.187029,-32.154840,-48.325775,-56.411242,-61.801554
2023-09-29,4.551707,7.376248,3.978001,15.177962,3.348243,-30.312169,-47.142375,-55.557478,-61.167547
2023-10-31,4.525096,7.504514,5.426958,14.854222,6.583395,-27.690086,-44.826827,-53.395198,-59.107445
2023-11-30,2.828945,6.914383,2.607820,12.963588,8.215640,-25.098731,-41.755916,-50.084509,-55.636904
2023-12-29,5.570805,6.482801,6.959801,11.709452,10.035259,-24.195906,-41.311488,-49.869280,-55.574474
2024-01-31,6.095611,6.778580,7.710428,8.183294,13.726911,-22.347853,-40.385235,-49.403926,-55.416387
2024-02-29,3.552638,6.917291,7.930303,10.748133,16.984080,-20.321344,-38.974056,-48.300412,-54.517982
2024-03-29,4.778380,6.932789,8.045141,10.069051,20.912748,-17.867072,-37.256982,-46.951937,-53.415241
2024-04-30,4.456627,7.474877,8.697593,9.892869,22.597052,-15.077982,-35.853162,-46.240751,-53.165811
2024-05-31,4.558908,7.474588,8.761565,9.102024,22.357558,-12.142356,-33.786012,-44.607840,-51.822392
2024-06-28,3.950357,7.618636,9.096959,9.840115,22.961270,-8.605399,-31.448713,-42.870370,-50.484808
2024-07-31,3.264154,7.446005,8.921939,9.842173,10.510402,8.470505,27.110278,36.430165,42.643423
2024-08-30,4.736223,7.497048,8.924438,9.975633,21.386290,5.486757,25.955396,36.189716,43.012596
2024-09-30,5.469045,7.621811,9.144799,10.424816,21.448114,4.084871,23.983137,34.684460,41.818675
2024-10-31,4.161466,7.786419,9.427543,10.802873,21.228253,11.174940,21.557668,33.076499,40.755720
2024-11-29,4.850267,7.909836,9.713939,11.418885,21.543979,16.959355,19.923516,32.259878,40.484120
2024-12-31,3.532575,8.826994,10.961676,12.770832,13.236896,14.083866,19.099117,33.367325,42.879464
2025-01-31,4.303016,8.773905,10.582171,12.092748,12.962288,13.396972,15.621727,32.323500,43.458015
2025-02-28,4.659803,8.853045,10.835074,11.924919,12.804246,14.067848,11.678316,31.085133,44.023010
2025-03-31,4.818067,8.676220,10.761046,12.072225,12.960843,18.245051,7.904281,29.928384,46.257636
2025-04-30,4.089508,8.146738,9.916301,11.023383,11.839106,14.497286,17.805485,27.822087,49.896812
2025-05-30,3.047892,8.087448,10.113768,10.570120,11.928505,14.996824,21.464879,24.219240,61.527460
2025-06-30,3.771161,8.019388,10.014855,9.167068,11.908577,14.457124,24.911212,8.941884,131.167009
